Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Price,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Status
126233-74,Rolex 126233 Green Roman VI IX Diamond,"<p>Pre-Owned Full Set with box, papers and warranty card.</p><p>Card Date: February 26, 2026</p><p>Serial: 79XX</p><p>Authenticity guaranteed. Ships FedEx Priority Overnight, fully insured, signature required.</p>",Rolex,Watch,"Rolex,Pre-Owned,Full Set",TRUE,Title,Default Title,OW-74,20900.0,1,deny,manual,active
126334-73,Rolex Datejust 41 126334 Blue Roman,"<p>Pre-Owned Full Set with box, papers and warranty card.</p><p>Authenticity guaranteed. Ships FedEx Priority Overnight, fully insured, signature required.</p>",Rolex,Watch,"Rolex,Datejust 41,Pre-Owned,Full Set",TRUE,Title,Default Title,OW-73,14500.0,1,deny,manual,active
134300-72,Rolex Oyster Perpetual 41 134300 Black,"<p>Pre-Owned Full Set with box, papers and warranty card.</p><p>Serial: Z2XX</p><p>Authenticity guaranteed. Ships FedEx Priority Overnight, fully insured, signature required.</p>",Rolex,Watch,"Rolex,Oyster Perpetual 41,Pre-Owned,Full Set",TRUE,Title,Default Title,OW-72,9800.0,1,deny,manual,active
127234-71,Rolex 127234 White,"<p>Pre-Owned Full Set with box, papers and warranty card.</p><p>Card Date: 28 February 2026</p><p>Serial: T3XX</p><p>Authenticity guaranteed. Ships FedEx Priority Overnight, fully insured, signature required.</p>",Rolex,Watch,"Rolex,Pre-Owned,Full Set",TRUE,Title,Default Title,OW-71,21800.0,1,deny,manual,active
126300-68,Rolex 126300 White Stick,"<p>Pre-Owned Full Set with box, papers and warranty card.</p><p>Card Date: 2/1/2026</p><p>Serial: N5XX</p><p>Authenticity guaranteed. Ships FedEx Priority Overnight, fully insured, signature required.</p>",Rolex,Watch,"Rolex,Pre-Owned,Full Set",TRUE,Title,Default Title,OW-68,11100.0,1,deny,manual,active
126518ln-67,Rolex Daytona 126518LN Black,"<p>Pre-Owned Full Set with box, papers and warranty card.</p><p>Card Date: 9/15/2025</p><p>Serial: 54XX</p><p>Authenticity guaranteed. Ships FedEx Priority Overnight, fully insured, signature required.</p>",Rolex,Watch,"Rolex,Daytona,Pre-Owned,Full Set",TRUE,Title,Default Title,OW-67,52000.0,1,deny,manual,active
124200-62,Rolex 124200 Black,"<p>Pre-Owned Full Set with box, papers and warranty card.</p><p>Card Date: 19 December 2025</p><p>Authenticity guaranteed. Ships FedEx Priority Overnight, fully insured, signature required.</p>",Rolex,Watch,"Rolex,Pre-Owned,Full Set",TRUE,Title,Default Title,OW-62,8400.0,1,deny,manual,active
278274-54,Rolex Datejust 31 278274 Silver Stick,"<p>Pre-Owned Full Set with box, papers and warranty card.</p><p>Serial: 80XX</p><p>Authenticity guaranteed. Ships FedEx Priority Overnight, fully insured, signature required.</p>",Rolex,Watch,"Rolex,Datejust 31,Pre-Owned,Full Set",TRUE,Title,Default Title,OW-54,12450.0,1,deny,manual,active
278274-53,Rolex Datejust 31 278274 Pink Roman,"<p>Pre-Owned Full Set with box, papers and warranty card.</p><p>Card Date: 30 January 2026</p><p>Serial: ANXX</p><p>Authenticity guaranteed. Ships FedEx Priority Overnight, fully insured, signature required.</p>",Rolex,Watch,"Rolex,Datejust 31,Pre-Owned,Full Set",TRUE,Title,Default Title,OW-53,13500.0,1,deny,manual,active
228238-51,Rolex Day-Date 40 228238 Money Casino Green,"<p>Pre-Owned Full Set with box, papers and warranty card.</p><p>Card Date: February 23, 2026</p><p>Serial: 2SXX</p><p>Authenticity guaranteed. Ships FedEx Priority Overnight, fully insured, signature required.</p>",Rolex,Watch,"Rolex,Day-Date 40,Pre-Owned,Full Set",TRUE,Title,Default Title,OW-51,63750.0,1,deny,manual,active
